"participant","session","gender","age","SOA","Orientierung","stimulus","response","correct","Rating","rt","rating","rating3"
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.801571679255,2.37442015047,5,3
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-0.859403372244,2.10756264941,1,1
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,-0.164080262455,2.52420643221,3,2
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,-0.429709315633,3.10771470954,2,2
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-0.687525749599,3.02438479809,1,1
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-0.781277180133,1.99927145876,1,1
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.952361333639,2.54111494077,5,3
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.841245136187,2.5325630023,5,3
1,1,"w",23,66.7,0,"senkrecht","waagrecht",0,0.126970321202,2.29549420824,3,2
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-0.132829785611,2.23278737118,3,2
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-0.632837415122,2.43278268747,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-0.343770504311,2.87420457156,2,2
1,1,"w",23,66.7,0,"senkrecht","waagrecht",0,0.984100099184,2.97442181864,5,3
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.896818493935,2.39115350117,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.1250171664,3.765830614,3,2
1,1,"w",23,16.7,90,"waagrecht","waagrecht",1,0.087296864271,2.5075375627,3,2
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,0.222217135882,2.49923552894,4,2
1,1,"w",23,16.7,90,"waagrecht","waagrecht",1,0.214282444495,2.74109838739,4,2
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,0.134905012589,2.15751023037,3,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.936491950866,2.52449226675,5,3
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,0.738094148165,4.82405199815,5,3
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.984100099184,4.73261606294,5,3
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,1,2.40755000982,5,3
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,0.611108567941,2.88249377323,5,3
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.579369802396,2.83250545043,4,2
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,0.261890592813,2.49922686729,4,2
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-1.52590218967e-05,2.30779311354,3,2
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.563469901579,2.59108690268,4,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.936491950866,2.47420527732,5,3
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,0.0238193331807,3.22416068585,3,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.658716716258,2.71606460695,5,3
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,0.849179827573,2.18252091308,5,3
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.420614938582,2.29111750719,4,2
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,0.428580148013,2.33259752059,4,2
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,-0.695338368811,2.49946169432,1,1
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-0.562523842222,2.44087555836,2,2
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,-1.52590218967e-05,1.86615821696,3,2
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.873014419776,3.33238386648,5,3
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-0.312520027466,2.25755809403,2,2
1,1,"w",23,66.7,90,"waagrecht","senkrecht",0,0.507927061875,2.20781069348,4,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.261890592813,2.59106252173,4,2
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,0.261890592813,3.09917624474,4,2
