"gender","age","coherence","direction","stimulus","response","correct","Rating","rt","rating","rating3","participant"
"w",23,0.256,270,"nach unten","nach unten",1,1,2.6242663658,5,3,7
"w",23,0.032,90,"nach oben","nach unten",0,-1,4.86575588824,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,1,2.57444901445,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.343770504311,4.87410444096,2,2,7
"w",23,0.128,270,"nach unten","nach unten",1,-1.52590218967e-05,2.5825848754,3,2,7
"w",23,0.128,90,"nach oben","nach oben",1,1,3.39918426453,5,3,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.29928297532,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,0.904753185321,3.97414399585,5,3,7
"w",23,0.032,90,"nach oben","nach oben",1,-1,7.29895896525,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,0.579369802396,3.34084224014,4,2,7
"w",23,0.128,90,"nach oben","nach oben",1,1,2.95751714607,5,3,7
"w",23,0.016,90,"nach oben","nach oben",1,-0.90627908751,5.92402284496,1,1,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.929716945144,3.30751732251,1,1,7
"w",23,0.016,270,"nach unten","nach oben",0,-1,4.94075074739,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-0.90627908751,4.50766315912,1,1,7
"w",23,0.016,90,"nach oben","nach unten",0,-1,4.04079671832,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.44111854695,5,3,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.664087891966,4.49910544347,1,1,7
"w",23,0.016,90,"nach oben","nach oben",1,-0.859403372244,7.57391840785,1,1,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.484397650111,3.56582360956,2,2,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.78254560923,5,3,7
"w",23,0.016,270,"nach unten","nach unten",1,-0.898466468299,6.05734978363,1,1,7
"w",23,0.016,90,"nach oben","nach oben",1,-0.882841229877,3.69083247171,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,-0.328145265888,3.29913604798,2,2,7
"w",23,0.016,270,"nach unten","nach oben",0,-0.992217898833,4.82411642292,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.29948379741,5,3,7
"w",23,0.064,90,"nach oben","nach unten",0,-1,3.24086107122,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,1,2.36614550234,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,1,2.857513521,5,3,7
"w",23,0.032,270,"nach unten","nach oben",0,-0.945342183566,3.05754034006,1,1,7
"w",23,0.064,270,"nach unten","nach unten",1,0.11110093843,3.98270171151,3,2,7
"w",23,0.064,90,"nach oben","nach oben",1,-1.52590218967e-05,4.55743976861,3,2,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.695338368811,6.37399296224,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-0.929716945144,9.25715332446,1,1,7
"w",23,0.016,270,"nach unten","nach unten",1,-0.828152895399,4.06583563963,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,0.841245136187,3.09918686303,5,3,7
"w",23,0.016,90,"nach oben","nach unten",0,-1,6.79070520954,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,0.00794995040818,3.49942399991,3,2,7
"w",23,0.064,270,"nach unten","nach unten",1,-1.52590218967e-05,3.94078603561,3,2,7
"w",23,0.032,270,"nach unten","nach unten",1,-1.52590218967e-05,3.38253142978,3,2,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.6325966328,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.789089799344,4.69078820103,1,1,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.570336461433,3.44918351065,2,2,7
"w",23,0.016,90,"nach oben","nach oben",1,-0.945342183566,4.58244147688,1,1,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.664087891966,3.22419155476,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,1,3.20754706086,5,3,7
"w",23,0.032,90,"nach oben","nach oben",1,-0.804715037766,4.37413924798,1,1,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.882841229877,4.16556690375,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.79077931481,5,3,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.54089119453,5,3,7
"w",23,0.128,90,"nach oben","nach oben",1,1,2.57420969611,5,3,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.47422467757,5,3,7
"w",23,0.016,90,"nach oben","nach oben",1,-0.835965514611,3.61986143276,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,-0.351583123522,2.60746403729,2,2,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.4492544079,5,3,7
"w",23,0.016,90,"nach oben","nach unten",0,-0.921904325933,3.92416656428,1,1,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.554711223011,4.57433128009,2,2,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.898466468299,3.88250528441,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.52419793872,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,-1.52590218967e-05,3.07409917981,3,2,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.61588894089,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,1,3.8574814408,5,3,7
"w",23,0.032,90,"nach oben","nach unten",0,-0.953154802777,7.93222607434,1,1,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.625024795911,3.42439962697,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,1,3.93250485133,5,3,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.4742291688,5,3,7
"w",23,0.032,90,"nach oben","nach unten",0,-0.97659266041,3.42419688007,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,1,3.69939852822,5,3,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.6325501165,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.859403372244,2.99086965267,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,1,3.15753819068,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,-1.52590218967e-05,4.79078444764,3,2,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.828152895399,4.67411258933,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.37412320788,5,3,7
"w",23,0.016,270,"nach unten","nach oben",0,-0.875028610666,12.2319716462,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,0.579369802396,2.40779876215,4,2,7
"w",23,0.128,90,"nach oben","nach oben",1,0.753963530938,3.20754866487,5,3,7
"w",23,0.128,90,"nach oben","nach oben",1,0.682520790417,3.84081801958,5,3,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.0234531166552,3.94915832768,3,2,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.718776226444,7.24883364392,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,0.619043259327,3.11586247472,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,0.452384222171,3.00752729945,4,2,7
"w",23,0.016,90,"nach oben","nach unten",0,-0.835965514611,3.88241289342,1,1,7
"w",23,0.016,90,"nach oben","nach unten",0,-0.882841229877,7.33249272501,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,1,2.49113254996,5,3,7
"w",23,0.016,90,"nach oben","nach oben",1,-1,3.02418558784,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,0.499992370489,2.81589041658,4,2,7
"w",23,0.032,90,"nach oben","nach oben",1,0.690455481804,4.31581390529,5,3,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.43256018968,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.554711223011,3.16587326971,2,2,7
"w",23,0.016,270,"nach unten","nach oben",0,-0.945342183566,3.89081534088,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,0.523796444648,3.64936816431,4,2,7
"w",23,0.128,90,"nach oben","nach oben",1,0.523796444648,4.86575492584,4,2,7
"w",23,0.016,270,"nach unten","nach oben",0,-1,5.43239946785,1,1,7
"w",23,0.032,270,"nach unten","nach unten",1,-1,6.75754550497,1,1,7
"w",23,0.016,270,"nach unten","nach unten",1,-0.882841229877,4.91564317444,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.57429727508,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,1,3.25754149494,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,-1,6.88231761521,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.59087792936,5,3,7
"w",23,0.032,90,"nach oben","nach oben",1,-0.929716945144,5.72402906852,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-0.992217898833,8.5321984212,1,1,7
"w",23,0.032,270,"nach unten","nach oben",0,-1,3.07410078382,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-0.601586938277,3.57439319489,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,0.484122987716,2.52422905652,4,2,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.875028610666,4.85739803226,1,1,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.0234531166552,3.13255156011,3,2,7
"w",23,0.256,90,"nach oben","nach oben",1,0.531731136034,2.57423343547,4,2,7
"w",23,0.256,90,"nach oben","nach oben",1,1,2.33258832402,5,3,7
"w",23,0.032,270,"nach unten","nach oben",0,-1,5.07405362591,1,1,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.664087891966,3.55773651051,1,1,7
"w",23,0.016,270,"nach unten","nach unten",1,-1,3.94083672234,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-0.664087891966,3.26586951633,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,-1.52590218967e-05,2.72421609612,3,2,7
"w",23,0.064,270,"nach unten","nach unten",1,-1,4.04916002794,1,1,7
"w",23,0.016,270,"nach unten","nach unten",1,-0.828152895399,4.20747808842,1,1,7
"w",23,0.016,90,"nach oben","nach unten",0,-1,6.88228938463,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-1,4.89930632971,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.7326066739,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,0.952361333639,3.35751753103,5,3,7
"w",23,0.128,90,"nach oben","nach oben",1,0.912687876707,3.13252236712,5,3,7
"w",23,0.064,90,"nach oben","nach oben",1,0.325398641947,3.6908308677,4,2,7
"w",23,0.016,270,"nach unten","nach unten",1,0.595239185168,3.24086844966,4,2,7
"w",23,0.064,90,"nach oben","nach oben",1,0.944426642252,3.19080857196,5,3,7
